"Replacement of a substring with itself","Replacing a substring with itself has no effect and may indicate a mistake.","warning","This replaces '""' with itself.","/lib/resourceUtils.js","41","43","41","46"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","The hard-coded value ""********"" is used as [[""authorization header""|""relative:///lib/WebDavApi.js:33:77:33:86""]].","/lib/WebDavApi.js","33","77","33","86"
"Disabling certificate validation","Disabling cryptographic certificate validation can cause security vulnerabilities.","error","Disabling certificate validation is strongly discouraged.","/lib/BaseApplication.js","397","5","397","47"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/import-enex-md-gen.js","304","9","304","20"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/import-enex-md-gen.js","1001","16","1001","31"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/lib/markdownUtils.js","13","10","13","21"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of /""/.","/lib/path-utils.js","145","9","145","20"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of /""/.","/lib/services/report.js","16","18","16","29"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of /\*/.","/lib/services/searchengine/SearchEngine.js","587","11","587","23"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '\r'.","/lib/string-utils.js","102","11","102","24"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '\n'.","/lib/string-utils.js","103","11","103","24"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '\t'.","/lib/string-utils.js","104","11","104","24"
"Reflected cross-site scripting","Writing user input directly to an HTTP response allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""user-provided value""|""relative:///ResourceServer.js:53:32:53:42""]].","/ResourceServer.js","49","20","49","26"
"Shell command built from environment values","Building a shell command string with values from the enclosing environment may cause subtle bugs or vulnerabilities.","warning","This shell command depends on an uncontrolled [[""absolute path""|""relative:///cli-integration-tests.js:19:28:19:36""]].
This shell command depends on an uncontrolled [[""absolute path""|""relative:///cli-integration-tests.js:20:26:20:34""]].","/cli-integration-tests.js","48","8","48","10"
"Shell command built from environment values","Building a shell command string with values from the enclosing environment may cause subtle bugs or vulnerabilities.","warning","This shell command depends on an uncontrolled [[""absolute path""|""relative:///fuzzing.js:12:28:12:36""]].
This shell command depends on an uncontrolled [[""absolute path""|""relative:///fuzzing.js:14:26:14:34""]].","/fuzzing.js","2076","29","2076","31"
"Missing regular expression anchor","Regular expressions without anchors can be vulnerable to bypassing.","warning","Misleading operator precedence. The subexpression '^Arrow(Up|Down|Left|Right)' is anchored at the beginning, but the other parts of this regular expression are not
Misleading operator precedence. The subexpression 'Audio(VolumeUp|VolumeDown|VolumeMute)$' is anchored at the end, but the other parts of this regular expression are not","/lib/services/KeymapService.ts","325","14","325","80"
