"Reflected cross-site scripting","Writing user input directly to an HTTP response allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","143","26","143","84"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///example/example.html:41:42:41:63""]] is reinterpreted as HTML without escaping meta-characters.","/example/example.html","41","28","41","81"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///example/example.html:64:43:64:60""]] is reinterpreted as HTML without escaping meta-characters.","/example/example.html","64","29","64","78"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///example/example.html:89:43:89:64""]] is reinterpreted as HTML without escaping meta-characters.","/example/example.html","89","29","89","82"
"Stored cross-site scripting","Using uncontrolled stored values in HTML allows for a stored cross-site scripting vulnerability.","error","Stored cross-site scripting vulnerability due to [[""stored value""|""relative:///crud-file-server.js:107:49:107:53""]].","/crud-file-server.js","143","26","143","84"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","66","14","66","25"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","96","15","96","26"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","107","21","107","32"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","118","22","118","46"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","158","23","158","34"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","170","23","170","34"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","185","40","185","51"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","212","17","212","28"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","212","31","212","49"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","221","16","221","27"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","233","14","233","25"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","238","18","238","29"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]].","/crud-file-server.js","246","19","246","30"
